,Unnamed: 0,Sha,Message,html.url,Author,Date,Url
5047,5047,0ab290774f91a23bebe30a358fde4e53ab4876a0,"Ensure validation sticks in banded_triangular_solve_op

PiperOrigin-RevId: 373275480
Change-Id: Id7717cf275b2d6fdb9441fbbe166d555182d2e79",https://github.com/tensorflow/tensorflow/commit/0ab290774f91a23bebe30a358fde4e53ab4876a0,Mihai Maruseac,5/12/2021 1:36,https://api.github.com/repos/tensorflow/tensorflow/git/commits/0ab290774f91a23bebe30a358fde4e53ab4876a0
5050,5050,f6fde895ef9c77d848061c0517f19d0ec2682f3a,"Validate that a and b are proper sparse tensors

PiperOrigin-RevId: 373274848
Change-Id: I3a665ac3a29dee9fb69bdf408a939330cb93ea75",https://github.com/tensorflow/tensorflow/commit/f6fde895ef9c77d848061c0517f19d0ec2682f3a,Mihai Maruseac,5/12/2021 1:32,https://api.github.com/repos/tensorflow/tensorflow/git/commits/f6fde895ef9c77d848061c0517f19d0ec2682f3a
5063,5063,41727ff06111117bdf86b37db198217fd7a143cc,"Validate that a and b are proper sparse tensors

PiperOrigin-RevId: 373248068
Change-Id: I0a2041a0747901b3f00387a6a3bce9bca6b0b3b1",https://github.com/tensorflow/tensorflow/commit/41727ff06111117bdf86b37db198217fd7a143cc,Mihai Maruseac,5/11/2021 22:41,https://api.github.com/repos/tensorflow/tensorflow/git/commits/41727ff06111117bdf86b37db198217fd7a143cc
5069,5069,c4d7afb6a5986b04505aca4466ae1951686c80f6,"Fix heap OOB / undefined behavior in `RaggedTensorToTensor`

PiperOrigin-RevId: 373244623
Change-Id: I2d6cbbc8c67b238a8815bf58097f7586d87c54f2",https://github.com/tensorflow/tensorflow/commit/c4d7afb6a5986b04505aca4466ae1951686c80f6,Mihai Maruseac,5/11/2021 22:22,https://api.github.com/repos/tensorflow/tensorflow/git/commits/c4d7afb6a5986b04505aca4466ae1951686c80f6
5326,5326,6972f9dfe325636b3db4e0bc517ee22a159365c0,"Add missing valuidation to FusedBatchNorm.

PiperOrigin-RevId: 372460336
Change-Id: Ic8c4e4de67c58a741bd87f2e182bed07247d1126",https://github.com/tensorflow/tensorflow/commit/6972f9dfe325636b3db4e0bc517ee22a159365c0,Mihai Maruseac,5/7/2021 0:45,https://api.github.com/repos/tensorflow/tensorflow/git/commits/6972f9dfe325636b3db4e0bc517ee22a159365c0
5337,5337,4c0ee937c0f61c4fc5f5d32d9bb4c67428012a60,"Prevent overflow in sparse op

PiperOrigin-RevId: 372442006
Change-Id: I60fe31cd7e56fb3501e97c63500caf902ddeee96",https://github.com/tensorflow/tensorflow/commit/4c0ee937c0f61c4fc5f5d32d9bb4c67428012a60,Mihai Maruseac,5/6/2021 22:55,https://api.github.com/repos/tensorflow/tensorflow/git/commits/4c0ee937c0f61c4fc5f5d32d9bb4c67428012a60
5340,5340,5899741d0421391ca878da47907b1452f06aaf1b,"Fix heap OOB read in dequantize op.

Also fixes SEGV in same op

PiperOrigin-RevId: 372437896
Change-Id: I135e94d360c2a1ce374c10f7e0fed1af603dbc02",https://github.com/tensorflow/tensorflow/commit/5899741d0421391ca878da47907b1452f06aaf1b,Mihai Maruseac,5/6/2021 22:31,https://api.github.com/repos/tensorflow/tensorflow/git/commits/5899741d0421391ca878da47907b1452f06aaf1b
5344,5344,b1b323042264740c398140da32e93fb9c2c9f33e,"Fix SEGV in CTC ops

PiperOrigin-RevId: 372430279
Change-Id: I7ec2ad9d6f4d0980c33de45d27c6b17df5c6e26f",https://github.com/tensorflow/tensorflow/commit/b1b323042264740c398140da32e93fb9c2c9f33e,Mihai Maruseac,5/6/2021 21:51,https://api.github.com/repos/tensorflow/tensorflow/git/commits/b1b323042264740c398140da32e93fb9c2c9f33e
5345,5345,a74768f8e4efbda4def9f16ee7e13cf3922ac5f7,"Prevent heap OOB error in `MaxPoolGrad`

PiperOrigin-RevId: 372424854
Change-Id: Idac0f23867ad8b0601cafbaaa52d5e64269e63a7",https://github.com/tensorflow/tensorflow/commit/a74768f8e4efbda4def9f16ee7e13cf3922ac5f7,Mihai Maruseac,5/6/2021 21:24,https://api.github.com/repos/tensorflow/tensorflow/git/commits/a74768f8e4efbda4def9f16ee7e13cf3922ac5f7
5349,5349,12c727cee857fa19be717f336943d95fca4ffe4f,"Validate inputs of `FractionalAvgPoolGrad`.

PiperOrigin-RevId: 372420640
Change-Id: Icc583928e6cdc3062e12498e4d2337a8fe3da016",https://github.com/tensorflow/tensorflow/commit/12c727cee857fa19be717f336943d95fca4ffe4f,Mihai Maruseac,5/6/2021 21:02,https://api.github.com/repos/tensorflow/tensorflow/git/commits/12c727cee857fa19be717f336943d95fca4ffe4f
